GHCNstationID,TMAX,WWhi,WWlo,TMIN,WWhi,WWlo,PRCP,WWhi,WWlo
BDM00078016,29,0,0,26,0,0,9.4,0,0
BE000006447,24,0,0,12,0,0,0,0,0
BOM00033008,21,0,0,12,0,0,6.6,0,0
BOM00033038,26,0,0,13,0,0,1.3,0,0
CA001012040,20,0,0,15,3,0,0,0,0
CA001016940,23,0,0,12,0,0,0,0,0
CA001017230,23,0,0,12,0,0,0,0,0
CA001018610,19,0,0,12,0,0,0,0,0
CA001018620,23,0,0,12,0,0,0,0,0
CA001020270,17,0,0,10,0,0,0,0,0
CA001021480,23,0,0,11,0,0,0,0,0
CA001021830,22,0,0,12,0,0,0,0,0
CA001021950,23,0,0,11,0,1,0,0,0
CA001025370,22,0,0,12,0,0,0,0,0
CA001025C70,23,0,0,15,0,0,0,0,0
CA001026270,17,0,0,10,0,0,0,0,0
CA001030605,17,0,0,12,0,0,0,0,0
CA001032730,17,0,0,12,0,0,0,0,0
CA001035940,17,0,0,12,0,0,0,0,0
CA001036240,17,0,0,10,0,0,0,0,0
CA001036570,17,0,0,10,0,0,0,0,0
CA001038205,21,0,0,11,0,0,0,0,0
CA001041050,26,0,0,13,0,0,0,0,0
CA001045100,23,0,0,15,0,0,0,0,0
CA001046390,22,0,0,12,0,0,0,0,0
CA001051350,14,0,0,12,2,0,0,0,0
CA001054500,16,0,0,13,3,0,0,0,0
CA001054920,16,0,0,13,1,0,0,0,0
CA001057050,19,0,0,12,0,0,0,0,0
CA001058190,19,0,0,12,0,0,0,0,0
CA001060840,21,0,0,11,0,0,0,0,0
CA001062745,19,0,0,12,1,0,0,0,0
CA001064020,23,0,0,10,0,0,0,0,0
CA001065010,21,3,0,11,0,0,0,0,0
CA001068130,23,0,0,10,0,0,0,0,0
CA001077500,21,0,0,7,0,0,0.3,0,0
CA001080870,16,0,1,5,0,0,4.1,1,0
CA001085835,21,0,0,7,0,0,0.3,0,0
CA001087950,23,0,0,10,2,0,0,0,0
CA001088010,16,0,1,5,0,0,4.1,1,0
CA001088970,21,0,0,7,0,0,0.3,0,0
CA001090660,20,0,0,5,0,0,4.6,0,0
CA001092970,17,0,0,3,0,0,3,0,0
CA001096450,20,0,0,6,0,0,4.1,0,0
CA001096630,20,0,0,5,0,1,4.6,0,0
CA001098940,20,0,0,6,0,0,5.3,0,0
CA001100030,24,0,0,11,0,0,0,0,0
CA001100120,27,0,0,11,0,0,0,0,0
CA001101155,26,0,0,16,1,0,0,0,0
CA001101530,27,0,0,14,0,0,0,0,0
CA001102220,27,0,0,14,0,0,0,0,0
CA001103326,26,0,0,13,0,0,0,0,0
CA001105190,24,0,0,11,0,0,0,0,0
CA001106180,26,0,0,13,0,0,0,0,0
CA001107680,26,0,0,13,0,0,0,0,0
CA001108447,23,0,0,15,0,0,0,0,0
CA001108487,22,0,0,14,0,0,0,0,0
CA001108890,26,0,0,13,0,0,0,0,0
CA001108910,25,0,0,13,0,0,0,0,0
CA001113540,26,0,0,13,0,0,0,0,0
CA001123360,34,0,0,14,0,0,0,0,0
CA001123750,30,0,0,9,0,0,0,0,0
CA001124110,34,0,0,14,0,0,0,0,0
CA001124980,30,2,0,9,1,0,0,0,0
CA001125700,30,0,0,13,0,0,0,0,0
CA001125760,30,0,0,11,0,0,0,0,0
CA001125766,30,0,0,11,0,0,0,0,0
CA001126150,30,0,0,11,0,0,0,0,0
CA001126510,28,0,0,7,0,0,0,0,0
CA001127800,31,0,0,14,0,0,0,0,0
CA001128580,30,0,0,10,0,0,0,0,0
CA001133270,26,0,0,8,0,0,0,0,0
CA001133300,26,0,0,8,0,0,0,0,0
CA001142160,29,0,0,9,0,0,0,0,0
CA001142400,31,0,0,8,0,1,0,0,0
CA001142820,23,0,0,9,0,0,1,0,0
CA001143900,31,1,0,8,0,0,0,0,0
CA001145300,23,0,0,9,0,0,1,0,0
CA001146870,31,1,0,7,0,1,0,0,0
CA001147620,31,0,0,8,0,0,0,0,0
CA001148700,31,0,0,7,0,3,0,0,0
CA001152670,24,0,0,4,0,3,0,0,0
CA001152850,24,0,0,4,0,1,0,0,0
CA001160670,29,0,0,9,0,0,1.3,0,0
CA001163400,28,0,0,13,1,0,0.3,0,0
CA001163780,28,0,0,13,0,0,0.3,0,0
CA001168520,22,0,0,5,0,1,5.1,1,0
CA001168880,30,0,0,9,0,0,0,0,0
CA001173210,25,0,0,6,0,0,0,0,0
CA001180585,18,0,0,6,0,0,0,0,0
CA001183000,18,0,0,6,0,2,0,0,0
CA001183090,18,0,0,5,0,0,0,0,0
CA001192340,23,0,0,5,0,0,0,0,0
CA001192940,24,0,0,7,0,1,0,0,0
CA001200560,22,0,0,8,0,0,0,0,0
CA002100630,23,0,0,6,0,0,0,0,0
CA002100700,26,0,0,12,0,0,0,0,0
CA002100880,26,0,0,9,0,0,0,0,0
CA002101100,22,0,0,8,0,0,0,0,0
CA002101200,24,0,0,8,0,0,0,0,0
CA002101300,26,1,0,10,0,0,0,0,0
CA002200100,15,0,0,3,0,1,0,0,0
CA002200675,4,0,0,0,0,0,0,0,0
CA002201700,19,0,0,7,0,0,0,0,0
CA002201900,18,0,0,5,0,0,0,0,0
CA002202000,14,0,2,6,0,1,0,0,0
CA002202200,-9999,0,0,-9999,0,0,-9999,0,0
CA002202400,17,0,0,9,0,0,0,0,0
CA002202570,15,0,0,3,0,1,0,0,0
CA002202800,19,0,0,7,0,0,0,0,0
CA002203910,15,0,0,3,0,0,0,0,0
CA002204100,14,0,2,6,0,3,0,0,0
CA002204200,14,0,2,6,0,0,0,0,0
CA002300500,13,0,0,3,0,0,0.3,0,0
CA002300750,5,0,1,-1,0,3,0,0,0
CA002301000,12,0,0,6,0,0,0.5,0,0
CA002301100,12,0,0,5,0,0,0.5,0,0
CA002303090,6,0,0,1,0,0,1,0,0
CA002400300,4,0,0,-1,0,0,0,0,0
CA002400570,8,0,0,4,0,0,0,0,0
CA002400595,4,0,3,0,0,3,1.5,0,0
CA002400600,5,0,3,1,0,2,1.8,1,0
CA002400654,5,0,0,1,0,0,0,0,0
CA002400800,9,0,0,2,0,0,0,0,0
CA002401200,12,0,0,3,0,0,3.3,2,0
CA002402340,9,0,0,2,0,0,0.3,0,0
CA002402350,9,0,0,4,0,0,0,0,0
CA002402590,8,0,0,2,0,0,2,0,0
CA002402684,11,0,0,7,0,0,0,0,0
CA002402686,-9999,0,0,-9999,0,0,-9999,0,0
CA002403500,6,0,0,4,0,0,0,0,0
CA002502700,2,0,1,0,0,0,0,0,0
CA002503650,26,4,0,11,3,0,0,0,0
CA003010890,21,0,0,7,0,0,0.3,0,0
CA003011120,19,0,0,4,0,2,3.8,0,0
CA003011240,19,0,0,4,0,3,3.8,0,0
CA003011880,21,0,0,7,0,0,0.3,0,0
CA003012205,19,0,0,4,0,2,3.8,0,0
CA003012208,19,0,0,11,0,0,4.1,0,0
CA003012210,19,0,0,6,0,3,4.6,0,0
CA003012280,20,0,0,7,0,0,1.3,0,0
CA003015400,20,0,0,7,0,0,2.8,0,0
CA003015960,19,0,0,6,0,0,4.6,0,0
CA003016761,22,0,0,10,0,0,1.8,0,0
CA003016840,22,0,0,10,0,0,1.8,0,0
CA003023560,25,0,0,12,0,0,0,0,0
CA003023720,22,0,0,5,0,0,6.9,0,0
CA003024920,19,0,0,7,0,0,3,0,0
CA003025480,22,0,0,9,0,0,5.3,0,0
CA003031000,24,0,0,7,0,0,0,0,0
CA003031093,23,0,0,9,0,0,0.3,0,0
CA003031320,26,0,0,7,0,0,0,0,0
CA003031400,25,0,0,10,0,0,0,0,0
CA003031658,24,0,0,9,0,0,0,0,0
CA003032800,20,0,0,9,0,0,0,0,0
CA003033240,21,0,0,6,0,0,0,0,0
CA003033880,25,0,0,10,0,0,0,0,0
CA003033890,27,0,0,12,0,0,0,0,0
CA003034480,26,0,0,14,0,0,0,0,0
CA003036200,20,0,0,9,0,0,0,0,0
CA003036240,26,0,0,14,0,0,0,0,0
CA003036360,26,0,0,12,0,0,0,0,0
CA003044200,27,0,0,12,0,0,0,0,0
CA003050520,20,0,0,5,0,0,0.5,0,0
CA003050600,24,0,0,7,0,0,0,0,0
CA003053520,18,0,0,3,0,2,8.1,1,0
CA003053600,23,0,0,4,0,0,0.5,0,0
CA003053760,18,0,0,3,0,0,0,0,0
CA003055120,21,0,0,6,0,0,0,0,0
CA003060321,20,0,0,5,0,3,7.4,0,0
CA003061200,20,0,0,9,0,0,3,0,0
CA003062440,18,0,0,3,0,0,8.1,0,0
CA003062693,21,0,0,8,0,0,1.5,0,0
CA003063646,17,0,1,6,0,0,2.3,0,0
CA003070560,19,0,0,3,0,3,0.5,0,0
CA003072520,19,0,0,7,0,0,0,0,0
CA003072720,19,0,0,8,0,0,0,0,0
CA003072920,19,0,0,3,0,3,0.5,0,0
CA003075040,19,0,0,7,0,0,0,0,0
CA003081680,21,0,0,8,0,0,1.5,0,0
CA004011160,25,0,0,13,0,0,2.5,0,0
CA004011980,23,0,0,12,0,0,0,0,0
CA004012120,22,0,0,12,0,0,0.3,0,0
CA004012400,25,0,0,13,0,0,2.5,0,0
CA004013480,23,0,0,12,0,0,0,0,0
CA004013490,23,0,0,12,0,0,0,0,0
CA004013660,22,0,0,10,0,0,0,0,0
CA004014040,24,0,0,13,0,0,1.3,0,0
CA004014720,23,0,0,11,0,0,0,0,0
CA004015160,24,0,0,13,0,0,3,0,0
CA004015320,23,0,0,11,0,0,0.3,0,0
CA004015360,22,0,0,11,0,0,0.8,0,0
CA004015440,23,0,0,11,0,0,0,0,0
CA004015560,23,0,0,12,0,0,0,0,0
CA004015680,23,0,0,11,0,0,0.5,0,0
CA004015800,22,0,0,13,0,0,1.8,0,0
CA004016560,23,0,0,12,0,0,0,0,0
CA004016640,23,0,0,12,0,0,0,0,0
CA004017320,23,0,0,12,0,0,0,0,0
CA004018160,22,0,0,12,0,0,0.3,0,0
CA004018640,23,0,0,11,0,0,0,0,0
CA004018760,24,0,0,12,0,0,1.5,0,0
CA004018880,22,0,0,11,0,0,0.8,0,0
CA004019040,25,0,0,13,0,0,2.5,0,0
CA004019080,22,0,0,10,0,0,0,0,0
CA004020160,23,0,0,13,0,0,0.5,0,0
CA004020560,22,0,0,11,0,0,1.3,0,0
CA004021520,22,0,0,12,0,0,0.3,0,0
CA004022328,23,0,0,11,0,0,0.5,0,0
CA004022960,23,0,0,11,0,0,0.5,0,0
CA004023060,24,0,0,11,0,0,0,0,0
CA004024080,21,0,0,13,1,0,0,0,0
CA004024936,25,0,0,12,0,0,0,0,0
CA004026040,21,0,0,12,0,0,0.3,0,0
CA004027440,23,0,0,11,0,0,0.5,0,0
CA004028040,21,0,0,12,0,0,0.3,0,0
CA004028060,22,0,0,12,0,0,0.3,0,0
CA004040600,24,0,0,13,0,0,1,0,0
CA004045600,23,0,0,10,0,0,1,0,0
CA004047240,21,0,0,11,0,0,0.3,0,0
CA004048520,22,0,0,8,0,0,3.6,0,0
CA004051080,22,0,0,11,0,0,0,0,0
CA004053120,23,0,0,12,0,0,0.5,0,0
CA004055085,21,0,0,10,0,0,0,0,0
CA004055720,23,0,0,12,0,0,0.3,0,0
CA004056120,23,0,0,11,0,0,0,0,0
CA004056240,22,0,0,11,0,0,0,0,0
CA004057120,23,0,0,14,0,0,0.3,0,0
CA004063560,21,0,0,12,0,0,0,0,0
CA004064600,25,0,0,9,0,0,1.8,0,0
CA004068840,20,0,0,10,0,0,0,0,0
CA004071560,21,0,0,10,0,0,0,0,0
CA004074640,21,0,0,10,0,0,0,0,0
CA004086000,22,0,0,10,0,0,0,0,0
CA005010240,22,0,0,11,0,0,1,0,0
CA005010480,22,0,0,12,0,0,1.5,0,0
CA005010485,22,0,0,12,0,0,1.5,0,0
CA005010640,22,0,0,12,0,0,1.5,0,0
CA005010760,23,0,0,15,0,0,2.8,0,0
CA005011240,22,0,0,11,0,0,1,0,0
CA005011760,22,0,0,12,0,0,1.5,0,0
CA005012080,27,0,0,15,0,0,3.6,0,0
CA005012320,23,0,0,14,0,0,0,0,0
CA005012500,22,0,0,12,0,0,1.5,0,0
CA005012520,22,0,0,12,0,0,1.5,0,0
CA005012960,24,0,0,15,0,0,3.8,0,0
CA005020720,24,0,0,13,0,0,0,0,0
CA005020880,25,0,0,17,0,0,0,0,0
CA005021848,25,0,0,15,0,0,0,0,0
CA005022760,27,0,0,18,1,0,3.6,0,0
CA005022780,28,0,0,17,0,0,0,0,0
CA005023222,24,0,0,13,0,0,0,0,0
CA005030080,24,0,0,15,0,0,0.3,0,0
CA005031200,25,0,0,13,0,0,0,0,0
CA005031320,27,0,0,16,0,0,0,0,0
CA005032164,24,0,0,15,0,0,0.3,0,0
CA005040680,22,0,0,12,0,0,0,0,0
CA005041140,22,0,0,12,0,0,0,0,0
CA005042800,21,0,0,10,0,0,0,0,0
CA005050920,21,0,0,12,0,0,0,0,0
CA005052880,21,0,0,12,0,0,0,0,0
CA005060520,20,0,0,8,0,0,0,0,0
CA005060600,13,0,0,10,0,0,0,0,0
CA006010738,26,0,0,14,0,0,0,0,0
CA006012198,23,0,0,13,0,0,0,0,0
CA006016525,24,0,0,15,0,0,0,0,0
CA006016975,23,0,0,13,0,0,0,0,0
CA006022475,28,0,0,16,0,0,0,0,0
CA006025203,30,0,0,16,0,0,13.2,1,0
CA006032117,26,0,0,17,0,0,0,0,0
CA006034075,28,0,0,16,0,0,0,0,0
CA006037775,27,0,0,18,1,0,0,0,0
CA006040325,26,0,0,14,0,0,8.9,1,0
CA006041109,21,0,0,14,0,0,16,2,0
CA006044903,20,0,0,13,0,0,4.6,0,0
CA006048261,26,0,0,16,2,0,25.7,3,0
CA006057592,28,0,0,16,1,0,0,0,0
CA006060773,27,0,0,17,1,0,0,0,0
CA006068150,30,1,0,16,0,0,0,0,0
CA006068980,26,0,0,18,2,0,0,0,0
CA006071712,27,0,0,16,1,0,0,0,0
CA006072225,33,2,0,17,1,0,0,0,0
CA006073810,27,0,0,16,1,0,0,0,0
CA006073840,27,0,0,15,0,0,1.8,0,0
CA006073960,25,0,0,17,1,0,1,0,0
CA006073975,25,0,0,17,1,0,1,0,0
CA006074209,33,3,0,17,1,0,0,0,0
CA006075425,29,1,0,9,0,0,4.3,0,0
CA006077845,25,0,0,17,1,0,1,0,0
CA006078285,27,0,0,16,1,0,0,0,0
