10hi,05hi,02hi,max,10lo,05lo,02lo,min
0,0,0,33,0,0,0,0
0,0,0,33,0,0,0,0
0,0,0,33,0,0,0,0
0,0,0,33,0,0,0,0
0,0,0,33,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,36,0,0,0,0
0,0,0,15,0,0,0,0
0,0,0,38,0,0,0,0
0,0,1,71,0,0,0,0
0,0,1,71,0,0,0,0
0,0,2,71,0,0,0,0
0,0,2,71,0,0,0,0
0,0,3,71,0,0,0,0
0,0,4,71,0,0,0,0
0,0,4,71,0,0,0,0
0,0,4,71,0,0,0,0
0,0,5,71,0,0,0,0
0,0,5,71,0,0,0,0
0,0,6,71,0,0,0,0
0,0,6,71,0,0,0,0
0,0,6,71,0,0,0,0
0,0,7,71,0,0,0,0
0,0,7,71,0,0,0,0
0,0,7,46,0,0,0,0
0,0,7,46,0,0,0,0
0,0,7,46,0,0,0,0
0,0,6,25,0,0,0,0
0,0,6,25,0,0,0,0
0,0,5,25,0,0,0,0
0,0,5,25,0,0,0,0
0,0,5,25,0,0,0,0
0,0,4,46,0,0,0,0
0,0,4,48,0,0,0,0
0,0,3,48,0,0,0,0
0,0,3,48,0,0,0,0
0,0,2,71,0,0,0,0
0,0,2,71,0,0,0,0
0,0,2,71,0,0,0,0
0,0,3,71,0,0,0,0
0,0,4,81,0,0,0,0
0,0,6,81,0,0,0,0
0,0,8,808,0,0,0,0
0,0,10,808,0,0,0,0
0,0,12,808,0,0,0,0
0,0,14,808,0,0,0,0
0,0,16,808,0,0,0,0
0,0,17,808,0,0,0,0
0,0,18,808,0,0,0,0
0,1,19,808,0,0,0,0
0,1,22,808,0,0,0,0
0,2,25,808,0,0,0,0
0,3,28,808,0,0,0,0
0,3,31,808,0,0,0,0
0,4,34,808,0,0,0,0
0,5,36,808,0,0,0,0
0,5,38,808,0,0,0,0
0,5,38,147,0,0,0,0
0,6,39,147,0,0,0,0
0,7,42,147,0,0,0,0
0,8,48,147,0,0,0,0
0,10,56,150,0,0,0,0
1,12,67,150,0,0,0,0
1,15,81,183,0,0,0,0
1,17,98,295,0,0,0,0
2,20,116,607,0,0,0,0
2,22,132,607,0,0,0,0
3,25,147,1151,0,0,0,0
4,27,159,1151,0,0,0,0
4,30,168,1151,0,0,0,0
5,33,175,1151,0,0,0,0
5,35,179,1151,0,0,0,0
6,39,182,1151,0,0,0,0
7,42,183,1151,0,0,0,0
7,44,183,1151,0,0,0,0
8,46,180,1151,0,0,0,0
8,46,176,1151,0,0,0,0
8,46,170,1151,0,0,0,0
8,45,162,1151,0,0,0,0
8,43,153,1151,0,0,0,0
8,41,143,1151,0,0,0,0
8,39,133,1151,0,0,0,0
7,38,125,422,0,0,0,0
7,38,119,422,0,0,0,0
7,39,115,406,0,0,0,0
7,41,114,406,0,0,0,0
8,43,115,376,0,0,0,0
9,47,119,376,0,0,0,0
10,51,124,376,0,0,0,0
12,55,130,376,0,0,0,0
14,60,137,523,0,0,0,0
17,64,143,523,0,0,0,0
20,70,151,523,0,0,0,0
24,76,159,523,0,0,0,0
28,82,168,523,0,0,0,0
32,89,177,523,0,0,0,0
37,98,188,523,0,0,0,0
41,106,199,523,0,0,0,0
46,116,211,523,0,0,0,0
51,125,222,523,0,0,0,0
56,133,230,523,0,0,0,0
61,141,238,523,0,0,0,0
65,148,243,523,0,0,0,0
69,153,247,523,0,0,0,0
72,158,249,523,0,0,0,0
75,161,250,472,0,0,0,0
78,164,251,472,0,0,0,0
79,166,251,472,0,0,0,0
81,168,252,472,0,0,0,0
81,168,252,472,0,0,0,0
81,167,253,472,0,0,0,0
80,165,253,472,0,0,0,0
79,164,254,472,0,0,0,0
78,162,256,516,0,0,0,0
78,160,259,516,0,0,0,0
78,160,262,516,0,0,0,0
79,160,267,516,0,0,0,0
81,162,271,516,0,0,0,0
84,164,276,516,0,0,0,0
87,166,280,516,0,0,0,0
90,168,284,516,0,0,0,0
92,170,286,516,0,0,0,0
94,171,288,516,0,0,0,0
95,172,289,516,0,0,0,0
95,171,289,516,0,0,0,0
94,169,287,516,0,0,0,0
93,167,284,516,0,0,0,0
92,164,280,516,0,0,0,0
89,160,274,472,0,0,0,0
87,157,266,472,0,0,0,0
85,153,256,472,0,0,0,0
83,148,245,404,0,0,0,0
80,144,235,404,0,0,0,0
79,141,225,404,0,0,0,0
78,139,216,404,0,0,0,0
77,138,210,404,0,0,0,0
78,138,207,328,0,0,0,0
79,140,208,561,0,0,0,0
82,142,212,561,0,0,0,0
85,146,218,561,0,0,0,0
89,149,226,561,0,0,0,0
93,153,235,561,0,0,0,0
97,156,245,561,0,0,0,0
100,159,254,561,0,0,0,0
101,161,260,561,0,0,0,0
102,161,266,561,0,0,0,0
101,162,271,561,0,0,0,0
99,161,274,561,0,0,0,0
97,160,276,561,0,0,0,0
94,158,276,561,0,0,0,0
91,156,275,561,0,0,0,0
89,154,273,561,0,0,0,0
88,153,270,493,0,0,0,0
87,152,265,493,0,0,0,0
87,151,260,475,0,0,0,0
